blockNumber,min,median,max,volume_USDC,volume_wETH
26473939,194960,194963,194966,66238.024223,19.400415499532173
26474089,194955,194967,194973,152191.97228,44.58493245567017
26474239,194959,194961,194964,24481.466084000003,7.167674937777326
26474389,194959,194960.5,194963,20920.711419,6.128264421449985
26474539,194937,194945,194962,94183.604329,27.538087539699994
26474689,194939,194942,194947,27181.668461999998,7.949432854394516
26474839,194947,194955,194968,83331.149325,24.40481653482908
26474989,194968,194980,194988,155481.8446,45.632993680682304
26475139,194988,195001.5,195010,123741.43049099998,36.39058526472723
26475289,195009,195011,195013,38460.535964999995,11.321182356463678
26475439,195014,195042.5,195059,235931.2334570001,69.64883378558497
26475589,195054,195068.5,195098,358482.1454869999,106.17965763092103
